Item #	Bid Item Description	Category
50	Install Electrical Systems Including Conduit Routing	Low-Voltage Electrical Distribution
51	Install Exit Signs and Emergency Lights	Lighting
52	Install Exterior Light Fixtures at 20-Foot Mounting Height	Lighting
53	Install Exterior Lighting Controls (Photocell and Time Switch)	Lighting
54	Install Exterior Site Lighting Fixtures	Lighting
55	Install Exterior Weatherproof GFCI Receptacles	Low-Voltage Electrical Distribution
56	Install General Purpose Duplex Receptacles	Low-Voltage Electrical Distribution
57	Install General Purpose Wiring Devices (Switches and Receptacles)	Low-Voltage Electrical Distribution
58	Install Ground Fault Circuit Interrupter (GFCI) Receptacles	Low-Voltage Electrical Distribution
59	Install Grounding and Bonding System	Electrical Protection
60	Install Ground-Mounted Transformer	Medium-Voltage Electrical Distribution
61	Install High and Low Level Exit Signs	Lighting
62	Install Independent Support Wires for Electrical Fixtures	Lighting
63	Install Lift-Station Motor Control Center (MCC)	Low-Voltage Electrical Distribution
64	Install Lighting Control Devices Including Master Switches	Lighting
65	Install Lighting Control System for Fitness Center	Lighting
66	Install Lighting Fixtures	Lighting
67	Install Lighting System	Lighting
68	Install Locked Control Panels	Low-Voltage Electrical Distribution
69	Install Low-Voltage and Power Cables	Low-Voltage Electrical Distribution
70	Install Main Distribution Panelboard (MDP)	Low-Voltage Electrical Distribution
71	Install Motor Rated Local Disconnects	Low-Voltage Electrical Distribution
72	Install Motor Starters	Low-Voltage Electrical Distribution
73	Install Natural Gas Generator and Automatic Transfer Switch (ATS)	Facility Electrical Power Generating and Storing Equipment
74	Install NEMA-1 Enclosures for Current Sensing Switches	Low-Voltage Electrical Distribution
75	Install NEMA 3R Rated Disconnects for Exterior Equipment	Low-Voltage Electrical Distribution
76	Install Occupancy Sensors for Corridor Lighting Control	Lighting
77	Install Panelboard G	Low-Voltage Electrical Distribution
78	Install Panelboard PNLBD-E	Low-Voltage Electrical Distribution
79	Install Panelboards PNLBD-DE1, PNLBD-A, and PNLBD-B	Low-Voltage Electrical Distribution
80	Install Panelboard with 240kA Surge Protection Device (SPD)	Low-Voltage Electrical Distribution
81	Install Phone Line Surge Protector for Fire Alarm System	Electrical Protection
82	Install Power and Control Conduit with Flexible Connections	Low-Voltage Electrical Distribution
83	Install Power, Data, USB, and Phone Outlets for Front Desk	Low-Voltage Electrical Distribution
84	Install Primary Elevator Disconnect with Shunt Trip	Low-Voltage Electrical Distribution
85	Install PTAC Receptacles	Low-Voltage Electrical Distribution
86	Install Raceways, Conductors, and Boxes for Power Distribution	Low-Voltage Electrical Distribution
87	Install Recessed Lighting in Guest Bath Shower	Lighting
88	Install Rigid Nonmetallic Conduit (PVC)	Low-Voltage Electrical Distribution
89	Install Secondary Electrical Service Entrance Conductors	Low-Voltage Electrical Distribution
90	Install Shunt Trip Breakers and Remote Power Off Device	Low-Voltage Electrical Distribution
91	Install Sleeves for Conduit Penetrations	Low-Voltage Electrical Distribution
92	Install Steel Conduit and Electrical Metallic Tubing (EMT)	Low-Voltage Electrical Distribution
93	Install Switchboards and Panelboards	Low-Voltage Electrical Distribution
94	Install Tamper-Resistant Receptacles	Low-Voltage Electrical Distribution
95	Install Undercounter Lighting (ALJ-048)	Lighting
96	Install Under-Slab Conduit for Floor Box Receptacles	Low-Voltage Electrical Distribution
97	Install USB-C Wiring Devices	Low-Voltage Electrical Distribution
98	Install Weatherproof Exterior Electrical Devices	Low-Voltage Electrical Distribution
99	Provide Alarm Panel and Oil Switch for Elevator Sump Pump	Low-Voltage Electrical Distribution
100	Provide Alarm Panel for Condensate Sump Pump	Low-Voltage Electrical Distribution
101	Provide Current Limiters as Required	Electrical Protection
102	Provide Dedicated 120VAC Circuit to Fire Alarm Control Panel	Low-Voltage Electrical Distribution
103	Provide Dedicated Receptacles and Junction Boxes for Equipment	Low-Voltage Electrical Distribution
104	Provide Electrical Building Connection	Low-Voltage Electrical Distribution
105	Provide Electrical Power Connection for Two Sewage Pumps (200V/230V, 3 Phase)	Low-Voltage Electrical Distribution
106	Provide Electrical Systems for Equipment and Specialty Rooms	Low-Voltage Electrical Distribution
107	Provide Final Power Connections to Equipment	Low-Voltage Electrical Distribution
108	Provide Final Power Connection to Fan Disconnects	Low-Voltage Electrical Distribution
109	Provide Ground Fault Protection at Circuit Breakers for Ranges	Electrical Protection
110	Provide Grounding and Bonding for Site Lighting Poles	Electrical Protection
111	Provide Hardwired Connections for Ranges	Low-Voltage Electrical Distribution
112	Provide Junction Boxes and Wiring for Light Fixtures	Lighting
113	Provide Lightning Protection System as Required	Electrical Protection
114	Provide Low Voltage Power Systems	Low-Voltage Electrical Distribution
115	Provide Power Connection for Electric Hand Dryers	Low-Voltage Electrical Distribution
116	Provide Power Connection for Heat Trace System	Low-Voltage Electrical Distribution
117	Provide Power Connections for Dryers, DOAS-1, and Generator	Low-Voltage Electrical Distribution
118	Provide Power Connections for Hardwired Equipment (Cooktops, PTACs)	Low-Voltage Electrical Distribution
119	Provide Power Connections for Laundry Equipment	Low-Voltage Electrical Distribution
120	Provide Power Connections for Sump Pumps	Low-Voltage Electrical Distribution
121	Provide Power Connections to Mechanical Equipment	Low-Voltage Electrical Distribution
122	Provide Power Rough-In and Final Connection for Building Signage	Low-Voltage Electrical Distribution
123	Provide Power Wiring for Site Security Cameras	Low-Voltage Electrical Distribution
124	Provide Receptacle for Future General Power	Low-Voltage Electrical Distribution
125	Reroute and Extend Existing Electrical Conduit and Wiring	Low-Voltage Electrical Distribution
