Item #	Bid Item Description	Category
68	Install Supply and Return Metal Ductwork	HVAC Air Distribution
69	Install Supply Diffusers	HVAC Air Distribution
70	Install Supply Diffusers (SD-2)	HVAC Air Distribution
71	Install Thermostats	Decentralized HVAC Equipment
72	Install Thermostats with Occupancy Sensors	Decentralized HVAC Equipment
73	Install Unit Heater (BH-1)	Decentralized HVAC Equipment
74	Install Unpainted Aluminum Field Jacket on Exterior Ductwork	HVAC Air Distribution
75	Perform Testing, Adjusting, and Balancing (TAB) of New HVAC Systems	Operation and Maintenance of HVAC Systems
76	Program Fans to Run Continuously	Operation and Maintenance of HVAC Systems
77	Provide Final Connection to Factory-Mounted Disconnects for Fans	Others
78	Provide Gas Building Connection	Facility Fuel Systems
79	Provide HVAC Systems including Exhaust Ducts and Equipment	Decentralized HVAC Equipment
80	Provide Shutdown Means for Rooftop Units over 2000 CFM	Central HVAC Equipment
81	Receive and Set Rooftop Mechanical Equipment	Central HVAC Equipment
